"model","pk","fields__order","fields__cart_id","fields__date_added","fields__product","fields__cart","fields__quantity","fields__product_price","fields__ordered","fields__image","fields__variation_category","fields__variation_value","fields__product_name","fields__password","fields__first_name","fields__last_name","fields__phone","fields__username","fields__ip_address","fields__session_key","fields__user_agent","fields__timestamp","fields__path","fields__email","fields__phone_number","fields__date_joined","fields__last_login","fields__is_admin","fields__is_staff","fields__is_active","fields__variations__001","fields__variations__002","fields__is_superadmin","fields__category_name","fields__slug","fields__description","fields__price","fields__images","fields__stock","fields__is_available","fields__category","fields__created_date","fields__modified_date","fields__cat_image","fields__session_data","fields__expire_date","fields__app_label","fields__model","fields__name","fields__action_time","fields__user","fields__payment","fields__order_number","fields__payment_id","fields__payment_method","fields__amount_paid","fields__subject","fields__review","fields__rating","fields__ip","fields__is_ordered","fields__status","fields__created_at","fields__updated_at","fields__address_line_1","fields__address_line_2","fields__profile_picture","fields__city","fields__order_note","fields__order_total","fields__tax","fields__state","fields__country","fields__content_type","fields__codename","fields__object_id","fields__object_repr","fields__action_flag","fields__change_message"
"admin.logentry","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-10-05T19:48:39.397Z","1","","","","","","","","","","","","","","","","","","","","","","","null","","1","Shirts","1","[{""added"": {}}]"
"admin.logentry","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-10-05T20:00:51.612Z","1","","","","","","","","","","","","","","","","","","","","","","","null","","2","T Shirt","1","[{""added"": {}}]"
"admin.logentry","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-10-05T20:01:08.744Z","1","","","","","","","","","","","","","","","","","","","","","","","null","","3","Shoes","1","[{""added"": {}}]"
"admin.logentry","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-10-05T20:01:26.446Z","1","","","","","","","","","","","","","","","","","","","","","","","null","","4","Jeans","1","[{""added"": {}}]"
"admin.logentry","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-10-05T20:01:42.413Z","1","","","","","","","","","","","","","","","","","","","","","","","null","","5","Jackets","1","[{""added"": {}}]"
"admin.logentry","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-10-05T20:35:41.812Z","1","","","","","","","","","","","","","","","","","","","","","","","null","","1","ATX Jeans","1","[{""added"": {}}]"
"admin.logentry","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-10-05T20:36:54.410Z","1","","","","","","","","","","","","","","","","","","","","","","","null","","2","RXN Blue Shirt","1","[{""added"": {}}]"
"admin.logentry","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-10-05T20:37:24.166Z","1","","","","","","","","","","","","","","","","","","","","","","","null","","3","Great Tshirt","1","[{""added"": {}}]"
"admin.logentry","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-10-05T20:37:54.524Z","1","","","","","","","","","","","","","","","","","","","","","","","null","","4","Jordan Basketball Shoes","1","[{""added"": {}}]"
"admin.logentry","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-10-05T20:38:21.365Z","1","","","","","","","","","","","","","","","","","","","","","","","null","","5","Mavi Jeans","1","[{""added"": {}}]"
